Datetime,Open,High,Low,Close,Volume
2020-07-02,1.3775,1.4721,1.352,1.4161,3204138.8
2020-07-03,1.4162,1.457,1.3792,1.4297,1766292.3
2020-07-04,1.4296,1.5611,1.4296,1.519,3810547.9
2020-07-05,1.518,1.5246,1.462,1.499,1706877.1
2020-07-06,1.499,1.5932,1.4948,1.5693,2993484.5
2020-07-07,1.5695,1.5725,1.5027,1.5285,1683650.3
2020-07-08,1.5295,1.6447,1.5159,1.6185,4136744.8
2020-07-09,1.6183,1.6194,1.505,1.555,3472564.2
2020-07-10,1.5551,1.5551,1.4928,1.5459,1600948.4
2020-07-11,1.5461,1.5622,1.5245,1.5319,1850923.8
2020-07-12,1.5327,1.5886,1.51,1.5407,2046701.4
2020-07-13,1.5408,1.5908,1.517,1.5399,3018328.1
2020-07-14,1.5395,1.5414,1.4992,1.5308,2195567.5
2020-07-15,1.5307,1.534,1.5019,1.5221,1226773.6
2020-07-16,1.5218,1.5374,1.4603,1.4761,2699671.6
2020-07-17,1.4761,1.5136,1.4687,1.4949,1670992.9
2020-07-18,1.4945,1.5998,1.476,1.5862,4421226.2
2020-07-19,1.5866,1.639,1.5346,1.5561,4182851.0
2020-07-20,1.5559,1.74,1.5558,1.6236,8196485.3
2020-07-21,1.6236,1.7222,1.604,1.6498,6283617.2
2020-07-22,1.6498,1.7523,1.635,1.7298,4895835.9
2020-07-23,1.7309,1.765,1.6693,1.6902,4689066.1
2020-07-24,1.6903,1.6927,1.6175,1.6258,4419851.4
2020-07-25,1.6258,1.6674,1.625,1.6432,3574367.3
2020-07-26,1.6437,1.6823,1.62,1.6301,4744390.3
2020-07-27,1.6304,1.6354,1.4666,1.578,8412233.8
2020-07-28,1.5781,1.5981,1.5459,1.5842,4908551.3
2020-07-29,1.584,1.635,1.58,1.5829,4881960.8
2020-07-30,1.5829,1.6035,1.5553,1.5913,3706294.9
2020-07-31,1.5913,1.6144,1.5778,1.5841,4502487.8
2020-08-01,1.5845,1.6681,1.55,1.657,8531355.4
2020-08-02,1.6572,1.7295,1.39,1.5851,7665558.2
2020-08-03,1.5852,1.6071,1.5536,1.572,5709974.4
2020-08-04,1.572,1.5996,1.5263,1.5897,7157233.8
2020-08-05,1.5901,1.623,1.5636,1.5946,8959591.6
2020-08-06,1.5944,1.6162,1.5701,1.6075,8208499.0
2020-08-07,1.6077,1.6349,1.5244,1.5655,8915334.5
2020-08-08,1.5655,1.606,1.5554,1.6054,7082581.4
2020-08-09,1.6052,1.7185,1.5794,1.714,10150974.7
2020-08-10,1.7141,1.856,1.6936,1.7987,15599532.7
2020-08-11,1.7989,1.8011,1.6039,1.6602,11737118.1
2020-08-12,1.6605,1.708,1.58,1.698,9901893.0
2020-08-13,1.6979,1.9051,1.6398,1.8426,15474400.5
2020-08-14,1.8418,2.0874,1.8008,2.0296,19626995.2
2020-08-15,2.0291,2.05,1.899,1.9344,18620280.0
2020-08-16,1.9343,3.12,1.8916,2.8019,38040108.3
2020-08-17,2.8019,3.2803,2.66,2.7057,36233930.8
2020-08-18,2.7057,2.9,2.4437,2.6966,21910100.8
2020-08-19,2.6908,3.4521,2.6224,3.3753,51868309.2
2020-08-20,3.3763,6.0,3.2666,5.6556,93539037.7
2020-08-21,5.6587,10.0,5.6171,6.2427,117292621.4
2020-08-22,6.2367,6.459,5.2932,6.1331,44216337.7
2020-08-23,6.1321,7.2,6.0,6.4215,34290061.8
2020-08-24,6.4229,6.4488,5.7489,5.8569,12908164.1
2020-08-25,5.8562,5.9064,4.72,5.1469,19164157.1
2020-08-26,5.1462,5.8465,4.9357,5.5041,18474071.4
2020-08-27,5.5021,5.5029,4.9069,5.0291,12293671.5
2020-08-28,5.0317,5.48,4.8799,5.4188,9057685.5
2020-08-29,5.4187,5.4792,5.0577,5.1082,8377751.2
2020-08-30,5.1091,5.8274,5.099,5.5009,12066369.9
2020-08-31,5.4989,5.6073,5.1108,5.1276,10108199.3
2020-09-01,5.1269,5.1776,4.9149,5.0008,7413036.9
2020-09-02,5.0005,5.249,4.05,4.3869,12838199.4
2020-09-03,4.3869,4.4496,3.3013,3.529,13903401.5
2020-09-04,3.5277,4.5,3.2816,4.2371,24561699.7
2020-09-05,4.2369,4.5274,3.4056,3.7622,19282500.7
2020-09-06,3.7621,4.0636,3.367,3.9203,9914619.1
2020-09-07,3.9197,3.9608,3.3001,3.6007,8432522.3
