Datetime,Open,High,Low,Close,Volume
2020-08-11,0.11,5.0,0.11,1.5629,60097839.17
2020-08-12,1.5609,1.985,1.555,1.6658,68986888.28
2020-08-13,1.6609,2.23,1.62,2.0068,33962576.51
2020-08-14,2.0066,2.1469,1.8,1.8574,14275597.59
2020-08-15,1.86,1.9287,1.64,1.6651,10974441.78
2020-08-16,1.6629,1.85,1.5173,1.73,10224160.879999999
2020-08-17,1.7313,1.7869,1.625,1.6503,5436284.29
2020-08-18,1.6504,1.7998,1.5252,1.6714,6518368.37
2020-08-19,1.6669,1.77,1.55,1.5993,4227230.65
2020-08-20,1.5994,1.789,1.595,1.7748,3816748.6
2020-08-21,1.7711,1.774,1.5,1.5098,4208793.15
2020-08-22,1.5098,1.5656,1.41,1.5425,2832406.1399999997
2020-08-23,1.5445,1.5961,1.4657,1.5307,2298987.2
2020-08-24,1.5307,1.8456,1.5028,1.8354,10285232.940000001
2020-08-25,1.8354,1.8779,1.571,1.6721,6069308.570000001
2020-08-26,1.6721,2.107,1.6461,2.0703,13917619.499999998
2020-08-27,2.0702,2.6,2.0205,2.5395,24969423.249999993
2020-08-28,2.5344,2.8,2.3203,2.4149,19833979.34
2020-08-29,2.4132,2.97,2.28,2.823,13782778.73
2020-08-30,2.822,2.9716,2.6434,2.8882,11608996.430000002
2020-08-31,2.8848,3.6,2.629,3.2905,15548216.56
2020-09-01,3.2906,3.7948,3.11,3.12,14647470.500000002
2020-09-02,3.12,3.67,2.75,3.5872,14742597.13
2020-09-03,3.5805,3.6103,2.843,2.8881,12030576.36
2020-09-04,2.8883,3.3,2.5231,2.889,8931570.04
2020-09-05,2.8914,3.1495,1.9686,2.2051,13072954.940000001
2020-09-06,2.2051,2.712,1.9566,2.6024,13415887.97
2020-09-07,2.6002,2.7069,2.03,2.4388,9947428.63
2020-09-08,2.4347,2.473,2.07,2.1315,8092188.819999999
2020-09-09,2.1324,2.595,2.069,2.4575,10366012.64
2020-09-10,2.458,2.5697,2.2592,2.2864,7100279.22
2020-09-11,2.2864,2.4097,2.18,2.3837,4558417.970000001
2020-09-12,2.384,2.4846,2.25,2.4124,4664005.05
2020-09-13,2.4101,2.647,2.205,2.38,12201452.290000001
2020-09-14,2.38,2.5482,2.2355,2.3984,8791251.25
2020-09-15,2.3984,2.52,2.0023,2.0374,9043188.690000001
2020-09-16,2.0374,2.041,1.7505,1.8234,8597549.97
2020-09-17,1.8234,1.9831,1.8,1.9399,6355698.630000003
2020-09-18,1.9378,2.28,1.9,2.11,9861950.829999998
2020-09-19,2.1071,2.1471,1.9541,2.0119,3822540.49
2020-09-20,2.0119,2.0124,1.801,1.8839,3552004.9499999993
2020-09-21,1.8863,1.93,1.6174,1.7348,7547619.659999998
2020-09-22,1.7381,1.8798,1.6617,1.8581,4025324.5200000014
2020-09-23,1.8599,1.9002,1.74,1.7501,5700826.91
2020-09-24,1.7498,1.999,1.7351,1.9779,4809615.550000001
2020-09-25,1.9777,2.048,1.83,1.969,8107043.200000001
2020-09-26,1.9698,2.007,1.8509,1.8955,3023129.33
2020-09-27,1.8938,1.9254,1.8101,1.8831,1934511.13
2020-09-28,1.8836,1.8955,1.762,1.7831,2197527.75
2020-09-29,1.7815,1.8098,1.7163,1.7778,1911775.71
2020-09-30,1.7797,1.8857,1.6741,1.8453,3084391.8900000006
2020-10-01,1.8453,1.9194,1.6617,1.7811,4644953.79
2020-10-02,1.7815,1.7845,1.562,1.6501,3718988.3999999994
2020-10-03,1.6489,1.6755,1.5777,1.5837,1563151.3699999996
2020-10-04,1.5837,1.62,1.52,1.5864,1791470.6799999997
2020-10-05,1.5893,1.6377,1.5064,1.5465,2156815.4899999998
2020-10-06,1.549,1.568,1.1462,1.1543,6164954.970000001
2020-10-07,1.1544,1.3725,1.0882,1.2461,9228950.13
2020-10-08,1.2436,1.3108,1.1182,1.2616,5356170.869999999
2020-10-09,1.2641,1.4476,1.235,1.3645,5040656.780000001
2020-10-10,1.3648,1.4013,1.2482,1.2585,2464279.5
2020-10-11,1.2573,1.35,1.21,1.2862,3368136.979999999
2020-10-12,1.2896,1.369,1.28,1.3109,3259125.1300000004
2020-10-13,1.3106,1.3555,1.2557,1.3242,2176010.47
2020-10-14,1.3242,1.3807,1.3067,1.3689,3242710.97
2020-10-15,1.3695,1.74,1.3198,1.4029,9716784.5
2020-10-16,1.4009,1.4074,1.2621,1.278,2498640.9000000004
2020-10-17,1.2764,1.3172,1.2427,1.2815,1569031.8000000003
2020-10-18,1.2809,1.3199,1.2728,1.2941,1071005.13
2020-10-19,1.2951,1.2994,1.1801,1.1856,1698811.4
2020-10-20,1.1864,1.198,1.0355,1.0415,2460388.46
2020-10-21,1.0414,1.1501,1.0325,1.1023,2705718.3400000003
2020-10-22,1.1015,1.1589,1.0886,1.1159,1668748.28
2020-10-23,1.1147,1.1329,1.0408,1.0708,1963865.64
2020-10-24,1.07,1.1023,1.042,1.0541,1347669.3
2020-10-25,1.0532,1.1338,1.0437,1.0938,3015054.8100000005
2020-10-26,1.0932,1.1296,0.9287,1.0328,5488722.159999999
2020-10-27,1.0321,1.2471,0.9896,1.1087,7953516.45
2020-10-28,1.1095,1.1826,0.9548,1.0047,8158003.070000001
2020-10-29,1.0024,1.0746,0.9362,1.0265,5824346.370000002
2020-10-30,1.026,1.032,0.9457,0.9892,2025327.3799999997
2020-10-31,0.9897,1.0168,0.9691,0.9769,1130512.48
2020-11-01,0.9768,1.0148,0.9582,0.9839,1185173.5
2020-11-02,0.9843,1.0112,0.9361,0.9378,1253319.2699999998
2020-11-03,0.9394,0.9394,0.8409,0.8539,2182804.4299999997
2020-11-04,0.8521,0.8573,0.7913,0.8319,1811715.1299999997
2020-11-05,0.8318,0.882,0.8042,0.8626,1947612.37
2020-11-06,0.8626,1.0082,0.8601,0.995,2717655.2999999993
2020-11-07,0.9951,1.2015,0.9951,1.0755,7961636.640000001
2020-11-08,1.0739,1.1398,1.028,1.1141,3010843.599999999
2020-11-09,1.1133,1.1275,1.005,1.0278,2097476.87
2020-11-10,1.0312,1.2317,1.0188,1.1802,4497828.19
2020-11-11,1.1813,1.2041,1.0824,1.0973,3211030.2399999998
2020-11-12,1.0964,1.1251,1.01,1.037,2346672.2399999993
2020-11-13,1.037,1.0995,1.0308,1.0716,2457608.2
2020-11-14,1.0729,1.0826,1.001,1.0347,2661588.4299999992
2020-11-15,1.0339,1.196,1.033,1.186,5887785.670000001
2020-11-16,1.1884,1.3579,1.1575,1.2637,9061012.139999999
2020-11-17,1.2622,1.3041,1.1611,1.2424,4995049.939999999
2020-11-18,1.2438,1.2678,1.0823,1.1299,4637087.350000001
2020-11-19,1.1327,1.1681,1.0742,1.1158,3264216.3399999994
2020-11-20,1.1159,1.217,1.1105,1.1404,3476097.8900000006
2020-11-21,1.1434,1.2775,1.121,1.2583,5221455.1899999995
2020-11-22,1.2578,1.2692,1.1212,1.1872,4845861.63
2020-11-23,1.1871,1.361,1.1625,1.2863,6798182.2700000005
2020-11-24,1.2833,1.3367,1.1925,1.23,6508795.76
2020-11-25,1.23,1.2701,1.1134,1.1557,5295717.09
2020-11-26,1.155,1.1764,0.92,1.0285,7031547.63
2020-11-27,1.0292,1.0454,0.9573,0.9972,2352637.35
2020-11-28,0.9976,1.0361,0.9617,1.014,1470791.6600000001
2020-11-29,1.0141,1.0366,0.9938,1.0313,959397.3999999999
2020-11-30,1.0313,1.1,1.0082,1.0652,2822457.0099999993
2020-12-01,1.0652,1.35,1.0563,1.2033,13821133.38
2020-12-02,1.2015,1.2844,1.1695,1.2135,5817064.740000001
2020-12-03,1.2121,1.2627,1.1821,1.2485,3170969.1
2020-12-04,1.2455,1.2574,1.1026,1.1147,3414799.17
2020-12-05,1.114,1.195,1.1,1.1778,1914627.7900000005
2020-12-06,1.1769,1.1849,1.112,1.1512,1461635.5199999996
2020-12-07,1.1527,1.1987,1.1209,1.1858,2282576.92
2020-12-08,1.1855,1.233,1.0618,1.0747,5127227.18
2020-12-09,1.073,1.1065,1.0353,1.0978,3889470.6499999994
2020-12-10,1.0977,1.104,1.018,1.0496,1783359.36
2020-12-11,1.0497,1.0532,0.9768,1.0198,2374512.6399999997
2020-12-12,1.0204,1.0687,1.0171,1.0505,1306216.8800000001
2020-12-13,1.0512,1.0903,1.03,1.0709,1420425.0200000003
2020-12-14,1.0692,1.0721,1.0325,1.0592,1049978.9099999997
2020-12-15,1.0594,1.1373,1.0553,1.1283,2344385.1
2020-12-16,1.1284,1.203,1.0931,1.1858,5890442.78
2020-12-17,1.1859,1.2095,1.1155,1.1394,4516858.329999999
2020-12-18,1.1379,1.1788,1.1102,1.1589,2410498.36
2020-12-19,1.1594,1.2589,1.1482,1.2132,4405829.12
2020-12-20,1.2127,1.2136,1.1156,1.1362,2982562.8999999994
2020-12-21,1.1355,1.1673,1.0492,1.0663,2448269.65
2020-12-22,1.0662,1.1893,1.0527,1.114,5502211.34
2020-12-23,1.1144,1.1271,0.8751,0.984,4862935.869999999
2020-12-24,0.9804,1.0499,0.941,1.0431,2214358.74
2020-12-25,1.0442,1.065,0.9978,1.0319,1377646.5500000003
2020-12-26,1.032,1.0323,0.9647,0.983,1379632.8
2020-12-27,0.9838,1.03,0.9159,1.0006,2285223.07
2020-12-28,1.001,1.11,0.9944,1.0131,3177568.7300000004
2020-12-29,1.0131,1.1689,0.9952,1.0803,6203154.35
2020-12-30,1.0832,1.0894,1.0012,1.0357,1584050.1800000002
2020-12-31,1.0363,1.047,0.9804,1.0429,2406667.9
2021-01-01,1.0429,1.135,1.0239,1.1318,3788782.6199999996
2021-01-02,1.1306,1.16,1.0357,1.0604,3817826.5
2021-01-03,1.0597,1.205,1.0353,1.1813,4312248.05
2021-01-04,1.1813,1.3389,1.0161,1.3149,13086069.28
2021-01-05,1.3172,1.6206,1.1569,1.4791,16881096.140000004
2021-01-06,1.4776,1.5847,1.359,1.4425,9972066.14
2021-01-07,1.4439,1.57,1.311,1.3991,8773305.59
2021-01-08,1.3993,1.9,1.25,1.6339,20160049.130000003
2021-01-09,1.6339,1.7999,1.5,1.7242,14523410.389999997
2021-01-10,1.7292,1.928,1.481,1.6185,13890046.19
2021-01-11,1.6175,1.6206,1.2053,1.41,12466793.459999999
2021-01-12,1.4128,1.5876,1.306,1.4436,9301988.41
2021-01-13,1.4447,1.69,1.375,1.6573,7531327.899999999
2021-01-14,1.6579,1.73,1.5659,1.6968,5656118.659999999
2021-01-15,1.6992,1.7597,1.4925,1.71,9592721.39
2021-01-16,1.7086,1.9767,1.6963,1.7703,9077405.090000002
2021-01-17,1.7727,1.8519,1.6,1.8192,7808740.609999999
2021-01-18,1.8174,2.047,1.7761,1.9077,7993357.089999999
2021-01-19,1.9111,2.012,1.7645,1.7971,5183383.78
2021-01-20,1.7971,1.889,1.65,1.8304,5979571.120000001
2021-01-21,1.8317,1.8421,1.505,1.5367,6495894.03
2021-01-22,1.5337,1.7007,1.42,1.6719,4742396.96
2021-01-23,1.6724,1.7958,1.63,1.7625,5207968.830000001
2021-01-24,1.7625,1.975,1.7237,1.9742,5262866.52
2021-01-25,1.9742,2.181,1.8641,1.8997,8810900.85
2021-01-26,1.8981,2.23,1.8657,2.2269,9339221.22
2021-01-27,2.2288,2.23,1.7947,1.8835,7525283.400000001
2021-01-28,1.8827,2.066,1.8199,1.9174,6696760.88
2021-01-29,1.9168,1.9323,1.8026,1.8836,6253131.120000002
2021-01-30,1.8835,2.1256,1.8038,2.0656,7838030.779999999
2021-01-31,2.066,2.4908,2.0317,2.484,13376065.490000002
2021-02-01,2.4843,2.8988,2.2499,2.8484,13265133.190000001
2021-02-02,2.8484,3.0494,2.6533,2.9605,8230898.53
2021-02-03,2.9609,2.9883,2.6952,2.8461,6891962.789999999
2021-02-04,2.847,3.0323,2.5943,2.8723,6837259.18
2021-02-05,2.8723,3.4797,2.8723,3.1328,7459521.820000002
2021-02-06,3.1367,3.5449,2.819,2.903,8552491.76
2021-02-07,2.9013,2.9993,2.5893,2.8819,6275623.74
2021-02-08,2.8768,3.3,2.7793,3.1291,8314866.1
2021-02-09,3.1291,3.538,3.0622,3.3589,9993762.610000001
2021-02-10,3.3588,4.4592,3.0483,4.2259,15807991.76
2021-02-11,4.2255,4.5354,3.9,4.1184,7314594.939999999
2021-02-12,4.1164,4.3794,3.9388,4.1657,5119401.279999999
2021-02-13,4.1657,4.5,3.7704,4.1163,6866284.780000001
2021-02-14,4.1184,4.16,3.65,3.8249,4923831.619999999
2021-02-15,3.8249,4.0394,3.25,3.6472,7739507.260000001
2021-02-16,3.65,3.9945,3.4044,3.6191,5494323.460000001
2021-02-17,3.6151,4.0241,3.2532,3.8337,7816471.410000001
2021-02-18,3.8321,4.0669,3.7287,3.9876,5075962.9399999995
2021-02-19,3.9876,5.25,3.6978,5.1069,11374459.900000002
2021-02-20,5.1,5.3344,4.2,4.5724,10514444.300000004
2021-02-21,4.5649,5.1606,4.3268,4.8197,5683278.43
2021-02-22,4.8213,6.15,3.95,5.7059,15715503.11
2021-02-23,5.7088,7.6,4.5709,6.96,43483108.87
2021-02-24,6.9602,7.35,6.2,6.997,15593481.34
2021-02-25,6.985,8.1471,5.9068,5.9887,13426284.27
2021-02-26,5.9943,6.4099,5.2756,5.4811,14167162.05
2021-02-27,5.4805,5.7722,5.1406,5.2721,5962915.3100000005
2021-02-28,5.2733,5.3054,4.2327,4.9813,8902292.600000001
2021-03-01,4.9752,5.9799,4.8994,5.6691,8851354.16
2021-03-02,5.6695,5.85,4.8752,5.2864,8077843.590000001
2021-03-03,5.284,5.7,5.1709,5.331,6263430.670000001
2021-03-04,5.331,5.6034,4.7,4.9728,5948200.07
2021-03-05,4.9735,5.0207,4.5269,4.8297,5168840.98
2021-03-06,4.8292,5.4657,4.7024,5.3173,5057014.0
2021-03-07,5.3278,6.51,5.3221,6.0064,14671442.259999998
2021-03-08,6.0064,6.1681,5.6565,6.0625,5968475.409999999
2021-03-09,6.0683,6.5615,5.9383,6.4191,5323535.21
2021-03-10,6.4242,6.4499,5.7406,5.8552,3656126.9299999997
2021-03-11,5.8524,6.2028,5.5381,5.8291,3872148.9900000007
2021-03-12,5.8342,5.967,5.2945,5.4907,3672254.32
