Datetime,Open,High,Low,Close,Volume
2020-08-11,2.85,3.5208,2.8433,3.2985,1552384.7799999998
2020-08-12,3.2985,3.9289,3.08,3.7558,1737042.9500000007
2020-08-13,3.75,4.1387,3.5003,3.73,1685759.2399999998
2020-08-14,3.7207,3.7676,3.321,3.4099,1474161.7899999998
2020-08-15,3.4181,3.74,3.15,3.173,1070233.2
2020-08-16,3.173,3.4907,3.12,3.3885,668106.5300000001
2020-08-17,3.3885,3.3952,3.1,3.11,729413.6399999998
2020-08-18,3.11,3.7092,2.8105,3.3407,2713115.9400000004
2020-08-19,3.334,3.49,2.8,2.8868,1433243.76
2020-08-20,2.8962,3.445,2.8871,3.2038,1277827.32
2020-08-21,3.2038,3.24,2.89,2.9317,1131895.9
2020-08-22,2.9213,3.2,2.7431,3.0126,1169417.78
2020-08-23,3.0224,3.4,3.0014,3.25,1198036.6900000002
2020-08-24,3.2658,3.62,3.21,3.3405,1315196.06
2020-08-25,3.3406,3.3654,3.0001,3.25,1149187.3699999999
2020-08-26,3.2576,3.7999,3.1809,3.5684,2290030.56
2020-08-27,3.5557,3.8575,3.2434,3.4501,2412974.8
2020-08-28,3.4503,4.3091,3.4503,4.0063,2581936.8400000003
2020-08-29,4.007,4.1121,3.7748,3.9535,1342844.2000000002
2020-08-30,3.9531,4.7117,3.9,4.4309,1815681.9900000005
2020-08-31,4.4127,4.8865,4.1,4.7435,1497129.1199999999
2020-09-01,4.7432,4.9475,4.3,4.3397,1267574.7600000002
2020-09-02,4.3213,4.3506,3.66,4.17,2002058.3599999994
2020-09-03,4.17,4.459,3.4772,3.5051,3275612.2599999993
2020-09-04,3.5062,3.8346,3.1739,3.5301,2052197.2400000002
2020-09-05,3.5301,3.6637,2.0926,2.6052,4426267.38
2020-09-06,2.6119,3.18,2.2575,3.0941,2898758.9100000006
2020-09-07,3.0785,3.1983,2.38,2.9237,2680083.17
2020-09-08,2.9237,2.9499,2.4,2.468,1626389.7
2020-09-09,2.468,3.8838,2.3821,3.6001,6691121.99
2020-09-10,3.6107,3.875,3.304,3.4761,4356890.66
2020-09-11,3.4707,3.5036,3.0316,3.3965,2227636.94
2020-09-12,3.3967,3.47,3.1494,3.3316,1161542.4700000002
2020-09-13,3.3386,3.47,2.9838,3.2603,2024779.4100000001
2020-09-14,3.2656,3.5393,3.0752,3.2641,3351649.61
2020-09-15,3.264,3.3249,2.8955,2.9295,1698391.0899999999
2020-09-16,2.9288,2.9293,2.4282,2.5327,4886766.99
2020-09-17,2.5376,2.9389,2.36,2.8829,4635747.3100000005
2020-09-18,2.883,3.16,2.726,3.1144,4169446.23
2020-09-19,3.1084,3.2545,2.9564,3.031,1586219.86
2020-09-20,3.0216,3.0319,2.7,2.8628,1456628.5799999996
2020-09-21,2.8628,3.0397,2.4689,2.7672,3567879.3099999996
2020-09-22,2.7571,3.0107,2.65,2.9082,3416786.33
2020-09-23,2.9184,3.09,2.7001,2.8548,2762150.959999999
2020-09-24,2.855,3.2571,2.7804,3.1433,2983701.0399999996
2020-09-25,3.1409,3.2766,2.9003,3.1937,2447843.2199999997
2020-09-26,3.185,3.25,3.03,3.1287,1357018.7200000004
2020-09-27,3.1292,3.1857,2.9819,3.1578,983815.8599999999
2020-09-28,3.1557,3.2109,2.908,2.9599,1306134.1500000004
2020-09-29,2.9549,3.027,2.8735,2.9505,950875.56
2020-09-30,2.9447,2.9838,2.8228,2.8967,722757.8300000001
2020-10-01,2.8967,2.9889,2.65,2.8669,1373061.5899999999
2020-10-02,2.8667,2.8873,2.42,2.6232,2788493.11
2020-10-03,2.6231,2.6708,2.5356,2.5439,547025.23
2020-10-04,2.542,2.5898,2.42,2.5202,765399.21
2020-10-05,2.5181,2.683,2.4561,2.6522,912587.17
2020-10-06,2.6486,2.6604,2.13,2.174,1784025.3299999998
2020-10-07,2.1721,2.4083,2.081,2.3005,2087951.2000000002
2020-10-08,2.3001,2.4569,2.0123,2.3638,2759189.9399999995
2020-10-09,2.3686,2.63,2.303,2.5314,1878523.79
2020-10-10,2.5274,2.6056,2.3873,2.3999,1278940.27
2020-10-11,2.3988,2.4607,2.3401,2.4227,898764.0799999998
2020-10-12,2.4228,2.7044,2.4132,2.5836,2155387.0100000002
2020-10-13,2.5826,2.5867,2.336,2.4062,1951031.0999999999
2020-10-14,2.4061,2.4424,2.2331,2.3107,1125385.8499999999
2020-10-15,2.3108,2.3485,2.1932,2.2682,754909.0900000002
2020-10-16,2.2648,2.269,2.1071,2.1398,1546650.13
2020-10-17,2.1374,2.2462,2.1107,2.2053,482249.54999999993
2020-10-18,2.2031,2.2595,2.1763,2.215,478921.26
2020-10-19,2.2137,2.2148,2.05,2.0592,909217.1900000001
2020-10-20,2.0552,2.108,1.8401,1.885,1933167.0400000005
2020-10-21,1.8873,2.11,1.8415,1.8887,3222724.75
